犬いぬ	狗 いぬ、いぬ- ケン dog words with this kanji: 子犬こいぬ - puppy
個こ	こ (counter for objects) 卵たまごが五個ごこあります。
気き	氣 いき キ、ケ spirit, mind, air, atmosphere, mood words with this kanji: 元気げんき - 天気てんき - weather
彼かれ	あ、あ.の、あれ、か、かれ、かの、 か.の ヒ he, that, the words with this kanji: 彼かれら - they (to a bunch of dudes) 彼女かのじょ - she
女おんな	妻、雌、牝、嬢 おんな、め ジョ、ニョ、ニョウ woman, female Omina (female given name) words with this kanji: 彼女かのじょ - she, girlfriend 女おんなの人ひと - woman 女おんなの子こ - girl
男おとこ	漢、夫、雄、牡、侽 おとこ、お ダン、ナン male Otoko (surname) Dan (male given name) words with this kanji: 男おとこの人ひと - man 男おとこの子こ - boy 男性だんせい -
万まん	萬 よろず マン、モン、バン、モク、ボク ten thousand (10,000)
弟おとうと	乙 おと、おとうと テイ、ダイ、デ younger brother, faithful service to elders words with this kanji: 兄弟きょうだい - brothers, siblings
兄あに	夫、背 あに、にい、にい.さん、え、せ ケイ、ヒン、キョウ elder brother, big brother words with this kanji: お兄にいさん - older brother 兄弟きょうだい - siblings
妹いもうと	"いもうと、いも マイ、バイ younger sister one's own younger sister words with this kanji: 姉妹しまい - sisters"
姉あね	"姐 あね one's own older sister words with this kanji: 姉妹しまい - sisters お姉ねえさん - older sister"
父ちち	ちち トウ father words with this kanji: お父とうさん 父親ちちおや
母はは	嚊、嬶 はは、も、はわ、は、あも、おも、 かか、かあ 厶、モ、ボウ、ボ mother words with this kanji: お母かあさん
娘むすめ	子 むすめ、こ ニョウ、ジョウ、ニャン daughter, girl words with this kanji: 孫娘まごむすめ - granddaughter
孫まご	まご、むまご、うまご ソン grandchild, descendants words with this kanji: 孫息子まごむすこ - grandson 孫娘まごむすめ - granddaughter
車くるま	くるま シャ、コ、キョ car words with this kanji: 電車でんしゃ - train 自転車じてんしゃ - bicycle 自動車じどうしゃ - automobile 電気自動車でんきじどうしゃ - electric car; electric vehicle 救急車きゅうきゅうしゃ - ambulance 車両しゃりょう - rolling stock; railcar, subway car, etc. 駐車ちゅうしゃ parking, especially of cars 駐車場ちゅうしゃじょう - parking lot, car park
雨あめ	あめ、あま-、-さめ ウ rain
円えん	圓 まる.い、まる、まど、まど.か、 まる.やか エン yen, circle The dickhead kanji.
千せん	阡、仟 ち セン thousand (1,000)
百ひゃく	"佰 もも、ほ、お ヒャク、ビャク、ハク hundred (100) words with this kanji: 八百屋やおや - greengrocer; fruit and vegetable shop, ""produce market"""
朝あさ	あさ、あした チョウ、ジョウ morning, dynasty, regime, epoch, period, (North) Korea words with this kanji: 朝あさご飯はん - breakfast 今朝けさ - this morning
昼ひる	晝、午 ひる チュウ daytime, noon words with this kanji: 昼ひるご飯はん - lunch 昼間ひるま - daytime
晩ばん	晚 くれ、おそ.い、おく.れる モン、バン nightfall, night words with this kanji: 晩ばんご飯はん - dinner 毎晩まいばん
目め	め、-め、ま- モク、ボク eye, class, look, insight, experience, care, favor words with this kanji: 種目しゅもく - event
糞くそ	屎、クソ くそ、ばば フン shit, feces, excrement shit, crap, fuck, damn it, goddamn it, -fuck
人ひと	ひと、-り、-と ジン、ニン person (counter for people) 進撃しんげきの巨人きょじん
両りょう	兩 てる、ころ、ふた.つ、ふたつ、もろ リョウ、リャン、ロウ both, old Japanese coin, (counter for carriages (e.g., in a train)), two words with this kanji: 両親りょうしん - parents 両方りょうほう - both 車両しゃりょう - rolling stock; railcar, subway car, etc. 両替りょうがえ -
親おや	"おや、おや-、した.しい、した.しむ、 みずか.ら シン parent, intimacy, relative, familiarity, dealer (cards) words with this kanji: 両親りょうしん - (both) parents 親戚しんせき - relatives 母親ははおや - mother (someone else's) 父親ちちおや - father (someone else's) 親切しんせつ - kind, helpful, friendly, obliging"
甘かん	あま.い、あま.える、あま.やかす、 うま.い、あま.んじる、 カン sweet, coax, pamper, be content, sugary words with this kanji: 甘あまい - sweet 甘あまみ - sweetness
子こ	こ、-こ、ね、み シ、ス、ツ child, sign of the rat, 11PM-1AM, first sign of the Chinese zodiac Ko (surname) words with this kanji: 子供こども - child 子猫こねこ - kitten 子犬こいぬ - puppy 息子むすこ - son 孫息子なごむすこ - grandson 椅子いす - chair 天気てんきの子こ
供とも	そな.える、とも、-ども キョウ、ク、クウ、グ submit, offer, present, serve (meal), accompany words with this kanji: 子供こども - child 子供時代こどもじだい - childhood
日ひ	"陽 ひ、-び、-か、に、が ニチ、ジツ day, sun, (Japan, counter for days) words with this kanji: 日曜日にちようび - Sunday 日本にっぽん - Japan 日本人にっぽんじん - Japanese person 平日へいじつ - weekday 何日なんにち - what day, how many days 今日きょう - today 昨日きのう - yesterday 明日あした - tomorrow 明後日あさって - the day after tomorrow 一昨日おととい - the day before yesterday 毎日まいにち - everyday; daily 誕生日たんじょうび - birthday 生年月日せいねんがっぴ - date of birth 天皇誕生日てんのうたんじょうび - The Emperor's Birthday 数日すうじつ - a few days"
本ほん	夲、元 もと ホン book, present, main, origin, true, real, (counter for long cylindrical things) words with this kanji: 日本にほん、日本にっぽん - Japan 日本人にほんじん、日本人にっぽんじん - Japanese person 本棚ほんだな - bookshelf 本田ほんだ - Honda 本当ほんとう - truth, reality 絵本えほん - picture book 宮本みやもと - Miyamoto 私わたしと彼女かのじょには静しずかな図書館としょかんで読よみます。 定規じょうぎを三本さんぽん買かいました。 ペンを二本にほんください。
中なか	"内、裡 なか、うち、あ.たる、あた.る チュウ、ジュウ in, inside, middle, mean, center Naka (surname) Atari (surname) Ataru (female given name) Nakaba (surname) (ちゅう) being in the process of doing 留守中るすちゅう、交渉中こうしょうちゅう (じゅう) during, in the course of, throughout all over, everywhere 世界中せかいじゅう words with this kanji: 中国ちゅうごく - China 中学ちゅうがく - middle school 中学生ちゅうがくせい - middle school student 田中たなか - Tanaka 中村なかむら - Nakamura 背中せなか - one's back 中身なかみ - physical contents 途中とちゅう - on the way; along the way; en route 世界中せかいじゅう - throughout the world 留守中るすちゅう - during absence from home 僕ぼくの心こころの中なかにはいつもアレクサンドラがいます。"
国くに	"國、邦、圀 こく、くに country words with this kanji: 中国ちゅうごく - China 外国がいこく - foreign country 外国人がいこくじん - foreigner 韓国かんこく - South Korea 入国にゅうこく - entry into a country 天国てんごく - heaven 国家こっか - nation; state 外国生活がいこくせいかつ - life in a foreign country; living abroad 国際こくさい - the quality of being international 国民こくみん - (collective) nationals (subject) 国会こっかい - the National Diet (Japan's bicameral legislature) 国会議員こっかいぎいん - member of the Diet; Diet member; member of parliament; MP 両国りょうこく - both countries 国家間こっかかん - cross-national 我わが国くに - our country (i.e. Japan) 生産国せいさんこく - country of origin; country of manufacture 相手国あいてこく - partner country; other country (in a dispute, arrangement, etc.); opponent (country) 国境こっきょう - a national border or frontier (part of a country that fronts or faces another country or an unsettled region) 歩行者天国ほこうしゃてんごく - pedestrian mall; car-free mall; pedestrian paradise 国王こくおう - king 民主国家みんしゅこっか - democracy; democratic nation"
田た	た デン、テン rice field, rice paddy Ta (surname) Den (surname) words with this kanji: 田中たなか - Tanaka 本田ほんだ - Honda 田村たむら - Tamura
出しゅつ	で.る、で、-で、だ.す、-だ.す、 い.ず、い.でる、い.だす シュツ、スイ、シュチ being from a certain place, coming out, the process of something coming out, something that comes out words with this kanji: 出身しゅっしん - hometown 出だす - to take out; to get out 出でる - to leave; to go out
身み	"躯、骸 み、む、むくろ シン somebody, person, one's station in life words with this kanji: 出身しゅっしん - hometown, the place one comes from 身長しんちょう - height; stature (the tallness of a person) 刺身さしみ - sashimi, a dish of sliced raw fish or meat 独身どくしん - unmarried 中身なかみ - physical contents"
学がく	學、斈、斅 まな.ぶ ガク、カク study, learning, science Satoru (male given name) Manabu (male given name) Makoto (male given name) words with this kanji: 学生がくせい - student 学校がっこう - school 小学しょうがく - preschool 小学生しょうがくせい - preschool student 中学ちゅうがく - middle school 中学生ちゅうがくせい - middle school student 大学だいがく - university 大学生だいがくせい - university student 留学生りゅうがくせい - foreign exchange student
生せい	"い.きる、い.かす、い.ける、 う.まれる、うま.れる、う.まれ、 うま.れ、うまれ、う.む、お.う、 は.える、は.やす、き、なま、なま-、 な.る、な.す、む.す、-う セイ、ショウ、サン life, genuine, birth words with this kanji: 先生せんせい - teacher 学生がくせい - student 年生ねんせい - grade level, nth-year student 留学生りゅうがくせい - foreign student, foreign exchange student 誕生日たんじょうび - birthday 生うまれる - to be born 生年月日せいねんがっぴ - date of birth 生いき物もの - creatures, lifeforms 生いきる - to live; to exist 生物せいぶつ - an organism; a life form 野生やせい - being or growing wild 再生さいせい - resuscitation; regeneration; restoration to life, reformation; rehabilitation 再生紙さいせいし - recycled paper 一生懸命いっしょうけんめい - for dear life; as hard as one can; to the best of one's ability 生物学せいぶつがく - biology 生しょうじる - to come about, occur, arise 生徒せいと - pupil, educatee, student (especially in junior high schools or high schools in Japan) 生いき甲斐がい - a reason for living; one's purpose; raison d'être 人生じんせい - life 生いき地獄じごく - hell on earth; living hell 天皇誕生日てんのうたんじょうび - The Emperor's Birthday 生活せいかつ - life; livelihood; daily living 学校生活がっこうせいかつ - school life 外国生活がいこくせいかつ - life in a foreign country; living abroad 発生はっせい - occurrence, incidence 生産せいさん - production 生産国せいさんこく - country of origin; country of manufacture"
先せん	さき、さき.んじる、ま.ず セン before, ahead, previous, future, precedence words with this kanji: 先生せんせい - teacher
話はなし	噺、咄 はな.す、はなし エ、カ、カイ、ワ tale, talk words with this kanji: 話はなす - to speak 電話でんわ - telephone 携帯電話けいたいでんわ - cell phone 会話かいわ - conversation 話はなし合あう - to discuss 国際電話こくさいでんわ - an international phone call, an overseas phone call 世話せわ - care, looking after, help, favor お世話せわになる - to be much obliged to someone, to be indebted, to be grateful, trouble someone 話はなし相手あいて - person with whom tk speak; someone to talk to; companion; advisor; adviser 私わたしたちは話はなしをします。
